circuit_key,grand_prix,circuit_name,city,country,circuit_type,track_length_km,num_corners,num_drs_zones,race_laps,race_distance_km,pit_lane_speed_limit_kmh,pit_loss_delta_s,direction,elevation_change_m,overtaking_difficulty,tyre_stress,in_2022,in_2023,in_2024,notes,fastf1_location,fastf1_event
BAH,Bahrain,Bahrain International Circuit,Sakhir,Bahrain,Permanent,5.412,15,2,57,308.2,80,22.0,Clockwise,37,Low,High,1,1,1,Night race; desert abrasive surface; high tyre degradation; opens season,Bahrain,Bahrain Grand Prix
SAU,Saudi Arabia,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Street,6.174,27,3,50,308.5,80,24.5,Clockwise,12,Medium,Medium,1,1,1,Fastest street circuit; very high speed; limited run-off; night race,Jeddah,Saudi Arabian Grand Prix
AUS,Australia,Albert Park Grand Prix Circuit,Melbourne,Australia,Semi-Permanent,5.278,14,4,58,306.1,80,19.5,Clockwise,35,Medium,Low,1,1,1,Semi-street; fastest pit lane passage on calendar; bumpy surface; grip builds over weekend,Melbourne,Australian Grand Prix
EMI,Emilia Romagna,Autodromo Enzo e Dino Ferrari,Imola,Italy,Permanent,4.909,19,1,63,309.0,80,25.0,Clockwise,28,Very High,Medium,1,1,0,Limited overtaking; tight layout; no 2023 race (flooding); returned 2024,Imola,Emilia Romagna Grand Prix
MIA,Miami,Miami International Autodrome,Miami,USA,Semi-Permanent,5.412,19,3,57,308.5,80,21.0,Clockwise,4,Medium,Medium,1,1,1,Stadium complex layout; high humidity; surface can be slippery early weekend,Miami Gardens,Miami Grand Prix
ESP,Spain,Circuit de Barcelona-Catalunya,Barcelona,Spain,Permanent,4.657,14,2,66,307.2,80,22.5,Clockwise,28,High,High,1,1,1,High tyre degradation; long history as test track; good overtaking at T1,Barcelona,Spanish Grand Prix
MON,Monaco,Circuit de Monaco,Monte-Carlo,Monaco,Street,3.337,19,1,78,260.3,60,27.0,Clockwise,42,Extremely High,Low,1,1,1,Slowest and narrowest circuit; 60 km/h pit limit; pit stop ~37% of lap time; no real overtaking,Monte-Carlo,Monaco Grand Prix
AZE,Azerbaijan,Baku City Circuit,Baku,Azerbaijan,Street,6.003,20,2,51,306.0,80,21.8,Anticlockwise,28,Low,Medium,1,1,1,Long main straight (2km); castle section ultra-narrow; safety car frequent,Baku,Azerbaijan Grand Prix
CAN,Canada,Circuit Gilles Villeneuve,Montreal,Canada,Semi-Permanent,4.361,14,2,70,305.3,80,23.0,Clockwise,6,Low,Medium,1,1,1,Long straights; Wall of Champions at chicane; high brake stress; island circuit,Montréal,Canadian Grand Prix
GBR,Great Britain,Silverstone Circuit,Silverstone,United Kingdom,Permanent,5.891,18,2,52,306.0,80,23.0,Clockwise,18,Low,High,1,1,1,High-speed sweeps (Maggotts-Becketts); high downforce; wet weather common,Silverstone,British Grand Prix
AUT,Austria,Red Bull Ring,Spielberg,Austria,Permanent,4.318,10,3,71,306.5,80,21.7,Clockwise,65,Low,Medium,1,1,1,Short lap; high elevation changes; shortest pit stop ratio to lap time,Spielberg,Austrian Grand Prix
FRA,France,Circuit Paul Ricard,Le Castellet,France,Permanent,5.842,15,2,53,309.7,80,23.0,Clockwise,13,Medium,High,1,0,0,Last race 2022; blue run-off strips; high tyre degradation; dropped from 2023 calendar,Le Castellet,French Grand Prix
HUN,Hungary,Hungaroring,Budapest,Hungary,Permanent,4.381,14,1,70,306.6,80,26.0,Clockwise,38,Very High,High,1,1,1,Twisty layout; low speed; very limited overtaking; high downforce circuit,Budapest,Hungarian Grand Prix
BEL,Belgium,Circuit de Spa-Francorchamps,Spa,Belgium,Permanent,7.004,19,2,44,308.1,80,23.7,Clockwise,104,Low,High,1,1,1,Longest circuit; massive elevation change; famous Eau Rouge/Raidillon; wet weather common; sprint 2023,Spa,Belgian Grand Prix
NED,Netherlands,Circuit Zandvoort,Zandvoort,Netherlands,Permanent,4.259,14,2,72,306.6,80,24.5,Clockwise,19,Very High,Medium,1,1,1,Banked corners (T3 and T14); narrow; extremely difficult overtaking; home race Verstappen,Zandvoort,Dutch Grand Prix
